word,count
liberty,3
jail,1
clay,1
county,2
mo,1
march,1
20th,1
"1839
",1
to,111
the,245
church,6
of,155
latterday,1
saints,8
at,7
quincy,1
illinois,1
and,252
scattered,1
abroad1,1
bishop,2
edward,1
partridge,1
in,59
particular,1
your,8
humble,4
servant,4
joseph,1
smith,2
jr,1
prisoner,1
for,39
lord,10
jesus,4
christ’s,1
sake,1
saints2,1
taken,4
held,4
by,29
power,2
mobocracy,1
under,3
exterminating,2
reign,1
his,21
excelancy,1
governer,1
lilburn,1
w,2
boggs,2
company,1
with,37
fellow,3
prisoners,3
beloved,4
brethren,9
caleb,1
baldwin,1
lymon,1
lyman,1
wight,1
hyram,1
hyrum,1
alexander,1
mcrae,1
send,4
unto,17
you,23
all,35
greeting,1
may,18
grace,1
god,24
father,1
our,51
savior,1
christ,3
rest,1
upon,16
abide,1
ever3,1
knoledge,3
be,62
multiplied,1
meorcy,1
god4,1
faith,4
virtue,3
temperance,1
pationce,1
godliness,1
brotherly,1
kindness,1
charity,1
abound,1
that,81
not,38
baron,1
anything,1
nor,2
unfrutefull5,1
forasmuch,1
as,34
we,74
know,2
most,8
are,31
well,5
acquainted,1
rongs,4
high,7
toned,1
injustice,1
cruelty,2
is,36
practiced,1
us,25
whereas,1
have,49
been,19
charged,1
falsly,1
evry,13
kind,2
evil,1
thrown,1
into,5
prison,3
inclosed,2
strong,3
walls,3
surrounded,2
a,65
guard,1
who,14
continually,1
watch,1
day,6
knight,1
indefatigable,1
devil,3
tempting,1
laying,1
snayers,1
people,5
god6,1
therefore,3
dearly,2
more,6
ready,1
willing,4
lay,1
claim,1
fellowship,3
love,4
curc,1
p,16
1umstances,1
calculated,2
awaken,1
spirits,3
sacred,2
rememberance,2
thing,11
think,8
yours,1
also,11
nothing,4
can,6
seperate,1
from,25
god7,1
one,13
another,2
species,1
wickedness,1
practised,1
will,15
only,3
tend,1
bind,1
harts,7
together,3
seal,2
them,26
love8,1
no,6
need,2
say,10
bonds,2
without,7
cause,6
neither,3
it,42
needfull,1
driven,1
homes,1
smitten,1
mutually,2
understand,2
if,15
inhabitance,1
state,4
missouri,3
had,8
let,10
alone,1
deserable,1
peace,2
they,34
ware,2
there,12
would,15
but,29
quiatude,1
quietude,1
this,16
​state​,1
should,11
hell,4
demonds,1
those,13
damned,4
shall,37
where,6
compeled,1
hear,1
blasphemous,1
oaths,2
witness,1
seen,1
blasphemy,1
drunkeness,1
hypocracy,1
debaucheries,1
description,1
again,4
cry,3
cries,2
orphans,1
widdows,1
​not​,2
assended,1
up,10
blood,1
inocent,3
women,2
children,3
yea,8
men,3
cried,1
against,11
​it​,1
stained,1
soyl,1
missouri9,1
oh,3
unrelenting,1
hand,4
inhumanity,1
murderous,3
disposition,1
shocks,1
nature,3
beggers,1
defies,1
discription,1
tail,3
tale,1
2,1
wo,4
lamentable,1
sorrifull,1
too,4
much,9
tell,2
contemplation,1
moment,1
human,2
beings,1
cannot,6
found,4
among,4
hethans,1
nations,1
kings,1
tyrants,1
inthroned,1
savages,1
wilderness,1
i,6
